Plaats;Inwoners;Budget;BudgetPerInwoner;MisdrijvenPer1000
Aa en Hunze;25674;214;8,335280829;31.5
Aalburg;12649,5;136;10,7514131;37.1
Aalsmeer;29688;686;23,10697925;48.2
Aalten;27469,5;1277;46,48792297;32.9
Abcoude;8777,5;141,725;16,14639704;62.6
Achtkarspelen;28105,5;374;13,30700397;33.3
Alblasserdam;19111;508;26,58154989;41.4
Albrandswaard;24432,5;416;17,02650159;42.8
Alkmaar;93898,5;3697;39,37230094;102.0
Almelo;72600,5;969;13,34701552;69.0
Almere;189407,5;8393;44,31186727;74.0
Alphen aan den Rijn;72607;1473;20,28730012;64.1
Alphen-Chaam;9451;112;11,85059782;44.0
Ameland;3502;102;29,12621359;62.3
Amersfoort;145727;3652;25,06055844;77.0
Amstelveen;81245,5;1211;14,90544092;65.3
Amsterdam;773632,5;83512;107,9478952;130.5
Andijk;6511;161;24,72738443;47.8
Anna Paulowna;14247;401;28,14627641;37.7
Apeldoorn;155962,5;4554;29,19932676;75.0
Appingedam;12061;218;18,0747865;50.0
Arnhem;147544;2462;16,68654774;114.0
Assen;67017;1317;19,65173016;80.1
Asten;16315,5;549;33,64898409;51.9
Baarle-Nassau;6703,5;228;34,01208324;43.0
Baarn;24348;296;12,15705602;64.1
Barendrecht;46640;1042;22,34133791;50.7
Barneveld;52758;892;16,90738845;49.7
Bedum;10471;143;13,65676631;31.4
Beek (L.);16563,5;312;18,83659854;77.6
Beemster;8578,5;215;25,06265664;43.6
Beesel;13873;168;12,10985367;49.7
Bellingwedde;9331,5;16;1,714622515;35.5
Bergambacht;9765;107;10,95750128;35.3
Bergeijk;18067;88;4,870758842;50.7
Bergen (L.);13370,5;347;25,95265697;45.9
Bergen (NH.);30926,5;868;28,06654487;52.0
Bergen op Zoom;65959,5;3281;49,74264511;79.6
Berkelland;44920,5;751;16,71842477;40.6
Bernheze;29691,5;303;10,20494081;41.5
Bernisse;12429,5;480;38,61780442;32.3
Best;28881,5;768;26,59141665;64.1
Beuningen;25494;451;17,69043697;56.4
Beverwijk;39106;1201;30,71139979;89.9
Binnenmaas;28946,5;475;16,4095832;26.4
Bladel;19281,5;673;34,90392345;59.5
Blaricum;8957;320;35,72624763;36.9
Bloemendaal;22031;403;18,29240615;47.9
Boarnsterhim;19327,5;234;12,10710128;63.3
Bodegraven;19439,5;431;22,17135214;65.7
Boekel;9818,5;22;2,240668126;36.3
Bolsward;9939,5;80;8,048694602;58.8
Borger-Odoorn;26006,5;297;11,42022187;33.5
Borne;21443,5;458;21,35845361;25.4
Borsele;22662,5;221;9,751792609;51.4
Boskoop;15067,5;418;27,74182844;31.6
Boxmeer;28578,5;1213;42,44449499;33.9
Boxtel;30278;357;11,79073915;25.8
Breda;173949;16167,592;92,94443774;53.1
Breukelen;14675;1026;69,91482112;45.4
Brielle;15868,5;968;61,00135489;66.0
Bronckhorst;37714;56;1,484859734;95.7
Brummen;21179;367;17,32848576;97.1
Brunssum;29411,5;489;16,62614964;52.9
Bunnik;14448;744;51,49501661;31.0
Bunschoten;20055,5;356;17,75074169;54.5
Buren;25950;519;20;70.1
Bussum;32261;327;10,13607762;52.8
Capelle aan den IJssel;65724,5;4228;64,32913145;39.0
Castricum;34622,5;590;17,04094158;33.2
Coevorden;36094;935;25,90458248;86.9
Cranendonck;20357;424;20,82821634;68.3
Cromstrijen;12803,5;231;18,04194166;57.8
Cuijk;24506,5;585;23,87121784;54.3
Culemborg;27542,5;1646;59,76218571;46.4
Dalfsen;27286;460;16,85846222;38.1
Dantumadiel;19296,5;293;15,18410074;55.3
De Bilt;42033;950;22,60128946;86.0
De Marne;10514;67;6,372455773;24.4
De Ronde Venen;34306,5;851;24,80579482;20.4
De Wolden;23606,5;95;4,024315337;89.7
Delft;97225;2634;27,09179738;56.1
Delfzijl;26601;773;29,05905793;51.7
Den Helder;57305;1706;29,77052613;71.6
Deurne;31601;1199;37,94183728;71.1
Deventer;98630;1600;16,22224475;27.4
Diemen;24848,5;419;16,86218484;33.8
Dinkelland;26062,5;920;35,29976019;56.7
Dirksland;8423,5;23;2,730456461;72.7
Doesburg;11618;241;20,74367361;47.0
Doetinchem;56072,5;868;15,47995898;30.5
Dongen;25081;513;20,45372992;84.7
Dongeradeel;24350,5;692;28,41830763;45.0
Dordrecht;118645;6620;55,79670445;40.0
Drechterland;19313;513;26,5624191;57.7
Drimmelen;26534;644;24,27074697;33.2
Dronten;39975,5;612;15,30937699;56.2
Druten;18090,5;311;17,19134352;53.5
Duiven;25571,5;371;14,50833936;42.4
Echt-Susteren;32273;481;14,9040994;68.9
Edam-Volendam;28544,5;198;6,936537687;39.8
Ede;108020,5;2279;21,09784717;40.0
Eemnes;8841;244;27,59868793;53.9
Eemsmond;16391,5;161;9,822163926;61.5
Eersel;18161,5;433;23,84164304;115.3
Eijsden;11502;246;21,38758477;46.1
Eindhoven;214922,5;18114;84,28154335;57.9
Elburg;22243;277;12,45335611;86.7
Emmen;109375;1292;11,81257143;92.2
Enkhuizen;18163;688;37,87920498;60.6
Enschede;157445;302;1,918130141;70.5
Epe;32878;895;27,22185048;72.6
Ermelo;26198,5;353;13,47405386;20.6
Etten-Leur;41662;966;23,1865969;41.5
Ferwerderadiel;8851,5;47;5,309834491;32.2
Franekeradeel;20676;216;10,44689495;56.8
Gaasterlân-Sleat;10264;205;19,97272019;59.1
Geertruidenberg;21197;396;18,68188895;58.8
Geldermalsen;26242;643;24,50270559;49.3
Geldrop-Mierlo;38253;1020;26,66457533;49.9
Gemert-Bakel;28834,5;1034;35,8598207;25.6
Gennep;17268;396;22,93259208;56.3
Giessenlanden;14439;138;9,557448577;46.1
Gilze en Rijen;25869,5;146;5,643711707;71.7
Goedereede;11414,5;347,408;30,43567392;52.3
Goes;36635;1103;30,10782039;72.3
Goirle;22784;437;19,1801264;94.2
Gorinchem;34779;2888;83,03861526;25.0
Gouda;71084,5;8605;121,0531128;43.1
Graafstroom;9805,5;124;12,645964;44.7
Graft-De Rijp;6486;28,799;4,440178847;118.9
Grave;12974;804;61,97009403;48.3
Groesbeek;18896,5;630;33,33950732;104.3
Groningen (gemeente);188644,5;915;4,8503932;25.2
Grootegast;12175;164;13,47022587;51.3
Gulpen-Wittem;14545;285;19,59436232;41.3
Haaksbergen;24467;399;16,30767973;36.4
Haaren;13627,5;82;6,017244542;88.8
Haarlem;150124,5;17074;113,7322689;86.9
Haarlemmerliede en Spaarnwoude;5415;75;13,85041551;94.3
Haarlemmermeer;143081;2983;20,84833067;58.1
Halderberge;29291,5;419;14,30449106;43.4
Hardenberg;59148,5;828;13,99866438;71.6
Harderwijk;44471;821;18,46146927;33.7
Hardinxveld-Giessendam;17516;228;13,01667047;42.8
Haren;18515,5;170;9,181496584;40.8
Harenkarspel;16132,5;367,257;22,76503952;62.4
Harlingen;15843,5;339;21,39678733;47.3
Hattem;11777;1710;145,1982678;52.4
Heemskerk;39027;968;24,80334128;57.9
Heemstede;26177,5;447;17,07573298;47.0
Heerde;18306,5;192;10,48807801;54.4
Heerenveen;43436;344;7,919697946;66.7
Heerhugowaard;51581,5;540;10,46886965;107.3
Heerlen;89224;13181;147,7293105;52.3
Heeze-Leende;15277,5;89;5,825560465;51.3
Heiloo;22515,5;289;12,83560214;83.2
Hellendoorn;35769;680;19,01087534;32.8
Hellevoetsluis;39747,5;1710;43,02157368;52.5
Helmond;88425,5;1925;21,76973837;84.4
Hendrik-Ido-Ambacht;27256,5;357;13,09779319;38.7
Hengelo (O.);80759,5;2440;30,21316378;66.0
het Bildt;10922,5;135;12,35980774;102.7
Heumen;16563;221;13,34299342;50.6
Heusden;43057;1080,906;25,10407135;46.9
Hillegom;20555,5;551;26,80547785;56.8
Hilvarenbeek;15006,5;191;12,72781795;46.3
Hilversum;84778,5;1897;22,37595617;95.4
Hof van Twente;35520,5;554;15,5966273;35.9
Hoogeveen;54824,5;2206;40,23748507;69.7
Hoogezand-Sappemeer;34784;467;13,42571297;61.0
Hoorn;70474,5;3647;51,74921425;89.7
Horst aan de Maas;41639,5;222;5,331476122;41.6
Houten;47778,5;1779;37,23432088;43.8
Huizen;41830;563;13,45923978;55.3
Hulst;27789,5;706;25,40527897;43.4
IJsselstein;34287;287,018;8,371044419;60.7
Kaag en Braassem;25693;945;36,78044604;41.7
Kampen;50227;1368;27,23634698;43.2
Kapelle;12383,5;157;12,67816046;31.0
Katwijk;61936;1547;24,97739602;47.2
Kerkrade;47546,5;2236;47,02764662;73.8
Koggenland;22025,5;235;10,66945132;39.8
Kollumerland en Nieuwkruisland;12967,5;285;21,97802198;25.1
Korendijk;10869,5;204;18,76811261;21.6
Krimpen aan den IJssel;28719;611;21,27511404;39.7
Laarbeek;21556,5;430;19,94757962;35.0
Landerd;14914,5;246;16,49401589;43.9
Landgraaf;38321,5;1426;37,21148702;60.0
Landsmeer;10243;233;22,74724202;50.7
Langedijk;26976;45;1,668149466;47.0
Lansingerland;53327,5;1324;24,82771553;47.7
Laren (NH.);11370,5;446;39,22430852;79.2
Leek;19348,5;657;33,95612063;45.6
Leerdam;20718,5;633;30,55240486;44.7
Leeuwarden;94455,5;3610;38,21905553;93.2
Leeuwarderadeel;10406;54;5,189313857;31.9
Leiden;117519;3240;27,57000996;96.8
Leiderdorp;26517,5;369;13,91533893;63.9
Leidschendam-Voorburg;72114;1875;26,00049921;71.6
Lelystad;74869,5;2237;29,87865553;72.8
Lemsterland;13622;306;22,46366172;58.9
Leudal;36670,5;542;14,78027297;41.6
Leusden;28710,5;671;23,37124049;49.2
Liesveld;9743;138;14,16401519;27.0
Lingewaal;10888,5;53;4,867520779;33.5
Lingewaard;45517;1316;28,91227453;41.4
Lisse;22510;237;10,52865393;58.9
Lith;6668;169;25,34493101;27.4
Littenseradiel;10961;110;10,0355807;17.2
Lochem;33336,5;401;12,02885726;38.1
Loenen;8533;165;19,33669284;44.0
Loon op Zand;22994,5;292;12,69868882;70.4
Lopik;14147,5;187;13,21788302;26.7
Loppersum;10465;188;17,96464405;32.9
Losser;22655,5;331;14,61013882;36.6
Maarssen;39707,5;943;23,74866209;61.5
Maasdonk;11261;184;16,33957908;50.2
Maasdriel;23863;327;13,70322256;51.7
Maasgouw;24273,5;454;18,70352442;41.9
Maassluis;31750,5;1097;34,550637;62.5
Maastricht;119098,5;6143;51,57915507;124.2
Margraten;13389,5;160;11,94966205;35.4
Marum;10460;57;5,449330784;29.6
Medemblik;27505,5;572;20,79584083;34.4
Meerssen;19530;273;13,97849462;51.5
Menaldumadeel;13761;110;7,993605116;58.5
Menterwolde;12444;154;12,37544198;26.0
Meppel;32444,5;1234;38,03418145;46.6
Middelburg (Z.);48013,5;417;8,685057328;54.9
Middelharnis;18000;669;37,16666667;65.0
Midden-Delfland;18022;1214;67,36211297;44.3
Midden-Drenthe;33570,5;266;7,923623419;45.2
Mill en Sint Hubert;11015,5;220;19,97185784;43.1
Millingen aan de Rijn;5917,5;95;16,05407689;37.1
Moerdijk;36541,5;1041;28,4881573;25.4
Montferland;35077,5;299;8,52398261;59.1
Montfoort;13497;190;14,07720234;46.3
Mook en Middelaar;7998;243;30,38259565;40.1
Muiden;6499,5;28,071;4,318947611;59.5
Naarden;17168,5;525;30,57925853;91.1
Neder-Betuwe;22586,5;192;8,500653045;56.2
Nederlek;14040,5;180;12,82005627;42.6
Nederweert;16642,5;272;16,34369836;39.7
Neerijnen;11861,5;93;7,840492349;37.3
Niedorp;12179,5;105;8,621043557;42.4
Nieuwegein;60921,5;2834;46,51888085;31.2
Nieuwkoop;26958,5;695;25,78036612;68.6
Nieuw-Lekkerland;9535,5;52;5,453306067;35.6
Nijefurd;10959;21;1,916233233;24.8
Nijkerk;39663;291;7,336812647;38.2
Nijmegen;163593;8359;51,0963183;47.1
Noord-Beveland;7435,5;44;5,917557663;102.1
Noordenveld;30801;456;14,80471413;50.6
Noordoostpolder;46171,5;682;14,77101675;46.8
Noordwijk;25422,5;1792;70,48874029;46.1
Noordwijkerhout;15578;471;30,23494672;81.2
Nuenen, Gerwen en Nederwetten;22227,5;339;15,2513778;49.1
Nunspeet;26706,5;367;13,74197293;45.5
Nuth;15631;28;1,791312136;44.3
Oegstgeest;22682;428;18,86958822;49.1
Oirschot;17797,5;130;7,304396685;49.1
Oisterwijk;25774;1296;50,28323116;57.5
Oldambt;39441;1614;40,92188332;63.3
Oldebroek;22704,5;259;11,40743025;64.4
Oldenzaal;32075;821;25,59625877;41.6
Olst-Wijhe;17521;293;16,7227898;54.3
Ommen;17366,5;120;6,909855181;36.3
Onderbanken;8062,5;184;22,82170543;42.7
Oost Gelre;30069,5;639;21,25076905;51.3
Oosterhout;54104;3584;66,24279166;38.5
Oostflakkee;10385,5;215;20,70194021;73.6
Ooststellingwerf;26119,5;183;7,006259691;32.2
Oostzaan;9131,5;292;31,97722171;41.4
Opmeer;11403;226;19,81934579;59.1
Opsterland;30015;554;18,45743795;38.9
Oss;77454;3935;50,80434839;29.1
Oud-Beijerland;23545,5;339;14,3976556;79.3
Oude IJsselstreek;39909,5;678;16,98843634;48.1
Ouder-Amstel;13122,5;211;16,07925319;39.2
Ouderkerk;8146;95;11,66216548;115.7
Oudewater;9829;131;13,32790721;28.3
Overbetuwe;45765;686;14,98962089;41.1
Papendrecht;31868;378;11,86142839;49.2
Peel en Maas;43123;238;5,519096538;46.9
Pekela;13004;78;5,998154414;45.7
Pijnacker-Nootdorp;48649,5;645;13,25810132;59.1
Purmerend;79115,5;3819;48,27119844;53.9
Putten;23669;430;18,16722295;65.4
Raalte;36742;475;12,92798432;50.4
Reeuwijk;13178;392;29,74654728;30.5
Reimerswaal;21545;75;3,481086099;60.3
Renkum;31607,5;607,64;19,22455114;41.1
Renswoude;4677;7;1,49668591;61.3
Reusel-De Mierden;12580,5;256;20,34895274;46.5
Rheden;43853;202;4,606298315;44.8
Rhenen;18905,5;241;12,74761313;63.6
Ridderkerk;44817,5;329;7,340882468;50.1
Rijnwaarden;11045;174;15,75373472;51.9
Rijnwoude;18506;198;10,69923268;30.3
Rijssen-Holten;37256,5;906;24,31790426;37.3
Rijswijk (ZH.);46671,5;621;13,30576476;35.3
Roerdalen;21273;972;45,6917219;87.7
Roermond;55403,5;3792;68,44332939;38.9
Roosendaal;77553,5;4668;60,19070706;98.9
Rotterdam;607964,5;130262;214,2592207;48.3
Rozenburg;;0;#DIV/0!;89.9
Rozendaal;1503,5;37;24,60924509;113.0
Rucphen;22457;468;20,83982723;45.0
Schagen;18703,5;372;19,88932553;70.9
Schermer;5359,5;69;12,87433529;60.2
Scherpenzeel;9321,5;134;14,37536877;78.0
Schiedam;75641,5;7455;98,55700905;34.7
Schiermonnikoog;949,5;80;84,25487098;34.5
Schijndel;23017,5;382;16,59606821;82.6
Schinnen;13451;145;10,77986767;.
Schoonhoven;11953,5;272;22,75484168;52.8
Schouwen-Duiveland;34160,5;1502;43,96891146;52.7
's-Gravenhage (gemeente);491818;24725;50,27266184;52.6
's-Hertogenbosch;140196,5;12050;85,9507905;69.6
Simpelveld;10974,5;300;27,33609732;29.4
Sint Anthonis;11819;247;20,89855318;30.0
Sint-Michielsgestel;28126;430;15,2883453;38.8
Sint-Oedenrode;17749;206;11,60628768;42.8
Sittard-Geleen;95028,5;5958,145;62,69850624;89.7
Skarsterlân;27332,5;615;22,500686;43.9
Sliedrecht;24056;433;17,99966744;50.6
Slochteren;15550,5;103;6,623581235;30.0
Sluis;24034;257;10,69318466;57.3
Smallingerland;55353,5;1117;20,17939245;54.9
Sneek;33502;484;14,44689869;68.3
Soest;45645,5;1148;25,15034341;48.3
Someren;18273;134;7,333223882;44.6
Son en Breugel;15598;590;37,82536223;55.1
Spijkenisse;72294,5;3474;48,05344805;61.6
Stadskanaal;33269;666;20,01863597;65.0
Staphorst;16166;82;5,072374119;30.1
Stede Broec;21338;77;3,608585622;67.7
Steenbergen;23248,5;350;15,05473471;46.9
Steenwijkerland;43244,5;731;16,90388373;45.3
Stein (L.);25691;457;17,78833054;49.5
Strijen;8892;258;29,0148448;34.1
Ten Boer;7440,5;19;2,553591829;66.1
Terneuzen;54850,5;2051;37,39254884;86.0
Terschelling;4727;345;72,9849799;61.5
Texel;13753,5;616;44,78859927;45.5
Teylingen;35785,5;1005;28,0840005;37.0
Tholen;25449,5;219;8,605277117;76.8
Tiel;41186,5;2866;69,585908;93.3
Tilburg;205546,5;20165;98,10432189;26.4
Tubbergen;21158;429;20,27601853;29.9
Twenterand;33653,5;278;8,260656395;32.7
Tynaarlo;32429;247;7,616639428;33.3
Tytsjerksteradiel;32207,5;693;21,51672747;35.5
Ubbergen;9345,5;59;6,313198866;72.4
Uden;40628,5;1624;39,97194088;72.5
Uitgeest;12741,5;207;16,24612487;51.7
Uithoorn;28083,5;867;30,87222034;41.1
Urk;18494;127;6,86709203;116.7
Utrecht (gemeente);309224;39510;127,7714537;61.0
Utrechtse Heuvelrug;48763,5;973;19,95344879;60.6
Vaals;9837,5;187;19,00889454;88.9
Valkenburg aan de Geul;17057;872;51,12270622;72.0
Valkenswaard;30673,5;965;31,46038111;61.0
Veendam;28002,5;790;28,21176681;61.3
Veenendaal;62160;1794;28,86100386;62.2
Veere;21920;525;23,95072993;59.1
Veghel;37389,5;1102;29,47351529;54.8
Veldhoven;43417,5;940;21,65025623;65.3
Velsen;67314;1499;22,26877024;92.4
Venlo;100047;6737;67,33835098;76.7
Venray;42751;1396;32,65420692;50.9
Vianen;19665;451;22,93414696;75.6
Vlaardingen;70901;3417;48,19396059;57.2
Vlagtwedde;16275;169,643;10,42353303;103.4
Vlieland;1155,5;63;54,52185201;74.0
Vlissingen;44590,5;2396,641;53,74779381;33.8
Vlist;9779,5;208;21,26898103;36.8
Voerendaal;12683,5;123;9,697638664;48.9
Voorschoten;23663,5;338;14,28360133;54.3
Voorst;23737,5;296;12,46972091;61.3
Vught;25527;306;11,98730756;41.6
Waalre;16507,5;86;5,209753143;69.8
Waalwijk;45981;1158;25,18431526;48.5
Waddinxveen;25368,5;403;15,88584268;73.4
Wageningen;37000,5;138;3,729679329;55.5
Wassenaar;25823;405;15,68369283;44.8
Waterland;17098,5;1547;90,47577273;88.4
Weert;48509,5;428;8,823014049;73.3
Weesp;17811,5;1603;89,99803498;39.1
Werkendam;26362;289,494;10,98148851;59.8
Wervershoof;8763;364;41,53828598;35.2
West Maas en Waal;18357;151;8,225744947;35.8
Westerveld;19353,5;152;7,85387656;47.6
Westervoort;15286,5;206;13,47594283;61.7
Westland;99746,5;350;3,508895049;42.0
Weststellingwerf;25837,5;4989;193,0914369;38.3
Westvoorne;14024,5;521;37,14927448;33.2
Wierden;23538,5;716;30,41825095;41.2
Wieringen;8631,5;245;28,38440595;52.0
Wieringermeer;12578;37,77;3,00286214;55.5
Wijchen;40327,5;291;7,215919658;47.5
Wijdemeren;23351,5;892;38,19883091;40.0
Wijk bij Duurstede;23136;417;18,02385892;26.3
Winsum;14063,5;397;28,22910371;48.0
Winterswijk;29038,5;223;7,679460027;51.6
Woensdrecht;21658,5;989;45,66336542;55.5
Woerden;49541;449;9,063200178;24.0
Wormerland;15831,5;440;27,79269179;36.8
Woudenberg;11956,5;220;18,40003345;42.3
Woudrichem;14426,5;287;19,89394517;33.1
Wûnseradiel;11839;137;11,5719233;35.8
Wymbritseradiel;16108;497;30,85423392;29.8
Zaanstad;146136;2559;17,51108556;69.2
Zaltbommel;26535,5;1852;69,79329577;67.4
Zandvoort;16632;234,528;14,1010101;91.2
Zederik;13369,5;149;11,14476981;28.6
Zeevang;6328,5;280;44,2442917;26.2
Zeewolde;21006;480;22,85061411;58.9
Zeist;60555;2626;43,36553546;77.1
Zevenaar;32070,5;504;15,71537706;53.5
Zijpe;11582;616;53,18597824;49.3
Zoetermeer;121721,5;2351;19,31458288;80.9
Zoeterwoude;8124;23;2,831117676;45.1
Zuidhorn;18599,5;212;11,39815586;28.1
Zuidplas;40465,5;750;18,534307;52.1
Zundert;21094;836;39,63212288;56.6
Zutphen;46977;2346;49,93933201;77.2
Zwartewaterland;21976,5;324;14,74302095;33.0
Zwijndrecht;44424,5;449;10,10703553;52.0
Zwolle;119692,5;4104,897;34,29535685;81.6
;;;; 
