Municipality,Year,Population,Crime,Finance
Aa en Hunze,2015,25203,645,297
Aalburg,2015,12922,385,0
Aalsmeer,2015,31077,1105,0
Aalten,2015,26904,615,434
Achtkarspelen,2015,27983,735,247
Alblasserdam,2015,19845,840,184
Albrandswaard,2015,25148,1120,115
Alkmaar,2015,107106,7525,5244
Almelo,2015,72291,4120,979
Almere,2015,196932,11915,9190
Alphen aan den Rijn,2015,107396,4485,4558
Alphen-Chaam,2015,9753,435,0
Ameland,2015,3590,135,20
Amersfoort,2015,152481,8930,3447
Amstelveen,2015,87162,4365,2026
Amsterdam,2015,821752,96125,69319
Anna Paulowna,2015,0,0,
Apeldoorn,2015,158099,8920,4904
Appingedam,2015,12011,445,0
Arnhem,2015,152293,12620,4891
Assen,2015,67165,3845,0
Asten,2015,16559,860,585
Baarle-Nassau,2015,6599,315,280
Baarn,2015,24406,1245,761
Barendrecht,2015,47521,1960,438
Barneveld,2015,54703,2175,162
Bedum,2015,10441,260,127
Beek (L.),2015,16214,1090,375
Beemster,2015,8903,255,259
Beesel,2015,13511,435,170
Bellingwedde,2015,9154,220,139
Berg en Dal,2015,0,0,
Bergambacht,2015,0,0,
Bergeijk,2015,18209,640,455
Bergen (L.),2015,13152,465,238
Bergen (NH.),2015,30005,1265,1099
Bergen op Zoom,2015,66320,4130,2841
Berkelland,2015,44364,1190,112
Bernheze,2015,29729,1165,435
Bernisse,2015,0,0,
Best,2015,28737,1440,1073
Beuningen,2015,25282,910,369
Beverwijk,2015,40182,2695,1447
het Bildt,2015,10592,250,168
De Bilt,2015,42169,1885,536
Binnenmaas,2015,28656,840,518
Bladel,2015,19869,880,605
Blaricum,2015,9312,475,399
Bloemendaal,2015,22256,1180,426
Boarnsterhim,2015,0,0,
Bodegraven-Reeuwijk,2015,33208,1320,392
Boekel,2015,10119,300,0
Ten Boer,2015,7452,140,0
Borger-Odoorn,2015,25502,700,255
Borne,2015,21992,715,105
Borsele,2015,22568,560,458
Boskoop,2015,0,0,
Boxmeer,2015,28342,1155,1381
Boxtel,2015,30337,1500,404
Breda,2015,180937,13540,0
Brielle,2015,16467,885,428
Bronckhorst,2015,36726,805,59
Brummen,2015,20983,745,449
Brunssum,2015,28656,1865,1142
Bunnik,2015,14662,680,252
Bunschoten,2015,20647,760,392
Buren,2015,26117,715,2056
Bussum,2015,32870,1795,343
Capelle aan den IJssel,2015,66478,3650,2951
Castricum,2015,34361,1405,725
Coevorden,2015,35535,1425,448
Cranendonck,2015,20542,860,0
Cromstrijen,2015,12784,415,307
Cuijk,2015,24649,1060,1843
Culemborg,2015,27560,1615,0
Dalfsen,2015,27677,535,0
Dantumadiel,2015,19059,420,534
Delft,2015,101030,6660,1104
Delfzijl,2015,25409,1015,489
Deurne,2015,31765,1480,559
Deventer,2015,98540,5625,1892
Diemen,2015,26666,1750,1049
Dinkelland,2015,25928,560,766
Dirksland,2015,0,0,
Doesburg,2015,11355,550,0
Doetinchem,2015,56484,2610,880
Dongen,2015,25395,1305,472
Dongeradeel,2015,23983,585,448
Dordrecht,2015,118899,8080,5656
Drechterland,2015,19294,635,412
Drimmelen,2015,26703,960,541
Dronten,2015,40363,1805,1240
Druten,2015,18294,610,246
Duiven,2015,25548,945,0
Echt-Susteren,2015,31947,1450,0
Edam-Volendam,2015,29087,825,328
Ede,2015,111575,4920,4997
Eemnes,2015,8807,340,248
Eemsmond,2015,15770,410,304
Eersel,2015,18347,820,461
Eijsden-Margraten,2015,24967,840,138
Eindhoven,2015,223209,22195,18729
Elburg,2015,22843,800,0
Emmen,2015,107775,5405,1486
Enkhuizen,2015,18345,1125,732
Enschede,2015,158553,11135,286
Epe,2015,32214,1195,1199
Ermelo,2015,26190,1310,585
Etten-Leur,2015,42503,2245,1129
Ferwerderadiel,2015,8738,175,82
Franekeradeel,2015,20328,740,390
De Friese Meren,2015,51213,1600,1400
De Fryske Marren,2015,0,0,
Gaasterlân-Sleat,2015,0,0,
Geertruidenberg,2015,21574,1005,0
Geldermalsen,2015,26323,1205,605
Geldrop-Mierlo,2015,38879,2040,1445
Gemert-Bakel,2015,29513,1195,390
Gennep,2015,17280,715,284
Giessenlanden,2015,14464,450,144
Gilze en Rijen,2015,26065,1325,0
Goedereede,2015,0,0,
Goeree-Overflakkee,2015,48206,1620,0
Goes,2015,37153,2065,1302
Goirle,2015,23014,860,348
Gooise Meren,2015,0,0,
Gorinchem,2015,35338,2230,2227
Gouda,2015,71105,5170,3616
Graafstroom,2015,0,0,
Graft-De Rijp,2015,0,0,
Grave,2015,12840,470,1056
's-Gravenhage (gemeente),2015,514861,45915,18818
Groesbeek,2015,34258,1330,663
Groningen (gemeente),2015,200336,16455,101
Grootegast,2015,12123,225,86
Gulpen-Wittem,2015,14497,545,198
Haaksbergen,2015,24307,620,1342
Haaren,2015,13523,435,218
Haarlem,2015,156645,10380,11170.761
Haarlemmerliede en Spaarnwoude,2015,5574,375,0
Haarlemmermeer,2015,144152,11620,3172
Halderberge,2015,29484,1175,821
Hardenberg,2015,59577,1895,649
Harderwijk,2015,45776,2185,496
Hardinxveld-Giessendam,2015,17802,460,607
Haren,2015,18924,745,123
Harenkarspel,2015,0,0,
Harlingen,2015,15779,690,367
Hattem,2015,11821,385,108
Heemskerk,2015,39138,1785,977
Heemstede,2015,26480,1190,413
Heerde,2015,18512,625,384
Heerenveen,2015,50141,2130,120
Heerhugowaard,2015,53554,3030,0
Heerlen,2015,87500,7215,0
Heeze-Leende,2015,15477,575,261
Heiloo,2015,22553,980,435
Den Helder,2015,56483,3855,1857
Hellendoorn,2015,35622,840,746
Hellevoetsluis,2015,38882,1835,1406
Helmond,2015,89718,6515,2766
Hendrik-Ido-Ambacht,2015,29156,1030,624
Hengelo (O.),2015,81059,4825,2416
's-Hertogenbosch,2015,150889,11485,8079
Heumen,2015,16383,770,0
Heusden,2015,43132,1670,1052.881
Hillegom,2015,21101,810,498
Hilvarenbeek,2015,15042,765,412
Hilversum,2015,87161,5435,1584
Hof van Twente,2015,34917,1050,442
Hollands Kroon,2015,47546,1365,1020
Hoogeveen,2015,54860,2745,1740
Hoogezand-Sappemeer,2015,34334,1550,653
Hoorn,2015,71880,4840,3153
Horst aan de Maas,2015,41661,1610,150
Houten,2015,48637,1725,1295
Huizen,2015,41315,1955,949
Hulst,2015,27360,1120,936
IJsselstein,2015,34061,1375,348
Kaag en Braassem,2015,25844,870,50
Kampen,2015,51432,1755,1376
Kapelle,2015,12545,285,27
Katwijk,2015,63633,2210,2258
Kerkrade,2015,46524,3095,3140
Koggenland,2015,22426,820,84
Kollumerland en Nieuwkruisland,2015,12835,270,318
Korendijk,2015,10778,205,48
Krimpen aan den IJssel,2015,28970,810,1097
Krimpenerwaard,2015,54208,1590,436
Laarbeek,2015,21913,750,439
Landerd,2015,15290,510,196
Landgraaf,2015,37456,1965,0
Landsmeer,2015,10823,475,218
Langedijk,2015,27287,1120,110
Lansingerland,2015,58133,2315,1780
Laren (NH.),2015,10857,545,421
Leek,2015,19478,615,607
Leerdam,2015,20568,790,0
Leeuwarden,2015,107691,8325,4839
Leeuwarderadeel,2015,10221,220,116
Leiden,2015,121562,8160,2800
Leiderdorp,2015,26853,980,493
Leidschendam-Voorburg,2015,73979,3935,0
Lelystad,2015,76418,5090,1426
Lemsterland,2015,0,0,
Leudal,2015,36244,1375,658
Leusden,2015,29062,795,407
Liesveld,2015,0,0,
Lingewaal,2015,11079,355,137
Lingewaard,2015,45788,1230,2103
Lisse,2015,22539,965,367
Littenseradiel,2015,10879,230,0
Lochem,2015,33244,1075,645
Loon op Zand,2015,22960,1260,0
Lopik,2015,14099,285,395
Loppersum,2015,10140,225,267
Losser,2015,22467,685,0
Maasdonk,2015,0,0,
Maasdriel,2015,24185,950,1747
Maasgouw,2015,23766,790,202
Maassluis,2015,32201,1600,1772
Maastricht,2015,122397,11465,6901
De Marne,2015,10157,270,38
Marum,2015,10311,285,134
Medemblik,2015,43604,1525,0
Meerssen,2015,19063,800,0
Menameradiel,2015,13612,320,0
Menterwolde,2015,12197,350,176
Meppel,2015,32799,1605,920
Middelburg (Z.),2015,47613,2550,0
Middelharnis,2015,0,0,
Midden-Delfland,2015,18709,570,690
Midden-Drenthe,2015,33284,1040,357
Mill en Sint Hubert,2015,10831,300,911
Millingen aan de Rijn,2015,0,0,
Moerdijk,2015,36816,1745,0
Molenwaard,2015,28993,600,228
Montferland,2015,35150,1170,549
Montfoort,2015,13672,355,102
Mook en Middelaar,2015,7762,285,0
Muiden,2015,6249,490,582
Naarden,2015,17209,795,0
Neder-Betuwe,2015,22728,800,541
Nederlek,2015,0,0,
Nederweert,2015,16776,510,336
Neerijnen,2015,12038,405,0
Niedorp,2015,0,0,
Nieuwegein,2015,61264,4260,3065
Nieuwkoop,2015,27114,645,1138
Nieuw-Lekkerland,2015,0,0,
Nijkerk,2015,40870,1395,381
Nijmegen,2015,170681,13430,5675
Nissewaard,2015,85121,4615,0
Noord-Beveland,2015,7433,340,69
Noordenveld,2015,31137,765,0
Noordoostpolder,2015,46479,1475,0
Noordwijk,2015,25604,1320,1726
Noordwijkerhout,2015,16063,560,524
Nuenen,2015,0,0,0
Nunspeet,2015,26744,1020,332
Nuth,2015,15495,675,42
Oegstgeest,2015,22997,915,274
Oirschot,2015,18079,760,0
Oisterwijk,2015,25732,1415,1100
Oldambt,2015,38420,1825,669
Oldebroek,2015,23001,670,341
Oldenzaal,2015,32120,1385,670
Olst-Wijhe,2015,17839,435,226
Ommen,2015,17341,525,183
Onderbanken,2015,7866,290,241
Oost Gelre,2015,29533,825,605
Oosterhout,2015,53793,3140,1926
Oostflakkee,2015,0,0,
Ooststellingwerf,2015,25617,775,133
Oostzaan,2015,9187,400,264
Opmeer,2015,11301,370,0
Opsterland,2015,29859,755,0
Oss,2015,89799,5295,2629
Oud-Beijerland,2015,23702,780,309
Oude IJsselstreek,2015,39558,1110,0
Ouder-Amstel,2015,13289,1125,0
Ouderkerk,2015,0,0,
Oudewater,2015,9924,270,67
Overbetuwe,2015,46833,1640,737
Papendrecht,2015,32188,1315,423
Peel en Maas,2015,43448,1515,293
Pekela,2015,12678,500,361
Pijnacker-Nootdorp,2015,51203,1800,599
Purmerend,2015,79611,3940,2662
Putten,2015,24377,845,534
Raalte,2015,36603,830,760
Reimerswaal,2015,22058,665,225
Renkum,2015,31408,1330,531
Renswoude,2015,4976,160,21
Reusel-De Mierden,2015,12774,460,223
Rheden,2015,43625,2055,1010
Rhenen,2015,19308,615,133
Ridderkerk,2015,45149,1895,250
Rijnwaarden,2015,10912,315,140
Rijnwoude,2015,0,0,
Rijssen-Holten,2015,37830,1030,1050
Rijswijk (ZH.),2015,48216,3570,338
Roerdalen,2015,20699,650,0
Roermond,2015,57005,4880,4531
De Ronde Venen,2015,42588,1680,587
Roosendaal,2015,76874,5020,3251
Rotterdam,2015,623652,60465,91394.047
Rozendaal,2015,1509,70,45
Rucphen,2015,22233,830,443
Schagen,2015,46137,2015,596
Schermer,2015,0,0,
Scherpenzeel,2015,9522,290,161
Schiedam,2015,76869,5425,5575
Schiermonnikoog,2015,926,35,89
Schijndel,2015,23543,910,0
Schinnen,2015,12992,640,177
Schoonhoven,2015,0,0,
Schouwen-Duiveland,2015,33821,1870,0
Simpelveld,2015,10844,345,293
Sint Anthonis,2015,11612,235,339
Sint-Michielsgestel,2015,28395,835,620
Sint-Oedenrode,2015,17937,580,0
Sittard-Geleen,2015,93724,7760,7396
Skarsterlân,2015,0,0,
Sliedrecht,2015,24758,880,667
Slochteren,2015,15583,320,207
Sluis,2015,23747,875,273
Smallingerland,2015,55635,2530,1291
Soest,2015,45454,2125,2049
Someren,2015,18695,650,535
Son en Breugel,2015,16344,825,484
Spijkenisse,2015,0,0,
Stadskanaal,2015,32610,1480,636
Staphorst,2015,16421,410,122
Stede Broec,2015,21498,945,9
Steenbergen,2015,23638,875,568
Steenwijkerland,2015,43219,1640,1528
Stein (L.),2015,25134,1125,0
Stichtse Vecht,2015,63943,2775,1556
Strijen,2015,8716,225,250
Súdwest-Fryslân,2015,84164,3505,0
Terneuzen,2015,54577,2280,0
Terschelling,2015,4827,315,422
Texel,2015,13581,555,373
Teylingen,2015,35646,1280,966
Tholen,2015,25440,655,499
Tiel,2015,41590,3005,0
Tilburg,2015,211648,15905,20501
Tubbergen,2015,21142,370,391
Twenterand,2015,33874,895,0
Tynaarlo,2015,32570,885,531
Tytsjerksteradiel,2015,31957,825,1135
Ubbergen,2015,0,0,
Uden,2015,41089,2525,2527
Uitgeest,2015,13291,745,380
Uithoorn,2015,28731,1210,904
Urk,2015,19705,505,182
Utrecht (gemeente),2015,334176,31110,33425
Utrechtse Heuvelrug,2015,48183,1895,1103
Vaals,2015,9694,520,423
Valkenburg aan de Geul,2015,16618,1085,0
Valkenswaard,2015,30234,1530,752
Veendam,2015,27695,1175,833
Veenendaal,2015,63440,2985,1610
Veere,2015,21926,890,865
Veghel,2015,37754,1650,0
Veldhoven,2015,44166,1895,1143
Velsen,2015,67166,3385,2185
Venlo,2015,100536,7445,3012
Venray,2015,43202,2355,1929
Vianen,2015,19632,820,516
Vlaardingen,2015,71645,4710,3007
Vlagtwedde,2015,16212,995,198
Vlieland,2015,1103,80,53
Vlissingen,2015,44485,2690,0
Vlist,2015,0,0,
Voerendaal,2015,12397,355,122
Voorschoten,2015,25150,850,388
Voorst,2015,23913,855,371
Vught,2015,25853,1130,404
Waalre,2015,16874,625,0
Waalwijk,2015,46713,2695,1815
Waddinxveen,2015,25657,1110,406
Wageningen,2015,37786,1360,406
Wassenaar,2015,25731,1090,1336
Waterland,2015,17143,530,362
Weert,2015,48914,2840,0
Weesp,2015,18348,910,0
Werkendam,2015,26452,875,496
West Maas en Waal,2015,18570,600,128
Westerveld,2015,19085,490,316
Westervoort,2015,14992,545,337
Westland,2015,104302,4765,3851
Weststellingwerf,2015,25525,950,68
Westvoorne,2015,14083,500,810
Wierden,2015,23874,615,345
Wieringen,2015,0,0,
Wieringermeer,2015,0,0,
Wijchen,2015,40886,1705,1365
Wijdemeren,2015,23176,775,0
Wijk bij Duurstede,2015,23222,575,310
Winsum,2015,13774,245,251
Winterswijk,2015,28977,1240,471
Woensdrecht,2015,21644,855,498
Woerden,2015,50631,2600,942
De Wolden,2015,23661,540,138
Wormerland,2015,15740,475,556
Woudenberg,2015,12487,410,47
Woudrichem,2015,14388,435,162
Zaanstad,2015,151418,8845,5723
Zaltbommel,2015,27358,1480,1301
Zandvoort,2015,16692,1210,1005.696
Zederik,2015,13717,360,75
Zeevang,2015,6306,155,152
Zeewolde,2015,21894,755,481
Zeist,2015,61641,3545,2332
Zevenaar,2015,32265,1135,566
Zijpe,2015,0,0,
Zoetermeer,2015,124025,6715,0
Zoeterwoude,2015,8114,260,113
Zuidhorn,2015,18733,350,276
Zuidplas,2015,40771,1635,0
Zundert,2015,21363,1020,72
Zutphen,2015,46849,2610,2300
Zwartewaterland,2015,22166,630,31
Zwijndrecht,2015,44501,1875,190
Zwolle,2015,123861,7500,0
© Centraal Bureau voor de Statistiek,2015,0,,
